,,,,,,How important were each of the following factors in making it possible for you to acquire a PEV?,,,,,,,,,,,,
County,Lease/Purchase,Vehicle Category,Make,4) Which of these factors was the most important reason why you decided to acquire a PEV? If it is not listed please describe it.,Other (please explain):Which of these factors was the most important reason why you decided to acquire a PEV?,5a) Federal Tax Incentives,5b) State Rebate (CVRP),5c) The option to lease a PEV,5d) Access to workplace charging,5e) Other incentive program,6) Have you already or will you be applying for an HOV lane sticker?,Disadvantaged Community,Weight,,,,,
Ventura,Purchase,BEV,Tesla,1,,4,4,1,4,1,1,0,0.777963697,,,,,
Santa Clara,Purchase,BEV,Nissan,1,,5,5,2,3,2,1,0,0.960056248,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,4,5,5,1,0,1.232783915,,,,,
Santa Clara,Purchase,BEV,Other,1,,5,5,1,5,4,1,0,0.684598943,,,,,
Ventura,Lease,PHEV,Ford,1,,2,4,4,4,2,1,0,0.872383886,,,,,
Fresno,Lease,BEV,FIAT,1,,5,5,5,1,5,1,0,0.965836393,,,,,
Tulare,Lease,PHEV,Ford,1,,5,5,5,3,4,1,0,0.841321266,,,,,
Sacramento,Purchase,BEV,Nissan,1,,5,4,3,1,5,1,0,0.679592878,,,,,
Los Angeles,Lease,BEV,Tesla,1,,4,5,5,3,4,1,0,1.145132597,,,,,
Los Angeles,Lease,BEV,Other,1,,3,3,4,5,3,1,0,1.068775263,,,,,
Los Angeles,Lease,PHEV,Ford,1,,5,5,5,5,5,1,0,1.070867044,,,,,
Alameda,Purchase,PHEV,Chevrolet,1,,5,5,3,4,3,1,0,1.007542027,,,,,
Contra Costa,Lease,BEV,FIAT,1,,5,5,5,2,5,1,0,1.093000139,,,,,
Butte,Purchase,BEV,Nissan,1,,4,3,1,4,,0,0,0.660142678,,,,,
Orange,Purchase,PHEV,Ford,1,,4,4,2,3,4,1,0,0.973816275,,,,,
San Mateo,Purchase,BEV,FIAT,1,,5,5,4,5,,1,0,0.872037927,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,3,4,4,4,3,1,0,1.255790796,,,,,
Orange,Lease,BEV,Other,1,,5,4,5,1,5,1,0,0.874535321,,,,,
Orange,Lease,PHEV,Ford,1,,5,5,5,5,5,1,0,1.090053748,,,,,
Ventura,Lease,BEV,FIAT,1,,5,5,5,5,5,1,0,0.904131654,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,4,5,3,1,0,1.255790796,,,,,
Contra Costa,Purchase,BEV,Nissan,1,,5,5,1,5,2,1,0,0.791885338,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,1,1.255790796,,,,,
San Mateo,Lease,BEV,Chevrolet,1,,4,5,5,1,2,0,0,0.879758225,,,,,
San Mateo,Purchase,BEV,Nissan,1,,5,5,1,5,1,1,0,0.946675703,,,,,
Los Angeles,Purchase,BEV,Other,1,,3,4,1,1,,1,0,0.656407095,,,,,
Orange,Purchase,BEV,Other,1,,5,5,1,1,1,1,0,0.685743532,,,,,
Nevada,Purchase,PHEV,Ford,1,,5,5,,,,0,0,0.812254099,,,,,
Los Angeles,Purchase,PHEV,Toyota,1,,1,1,1,1,1,1,0,1.30723249,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,5,,5,5,1,0,0.969755576,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,1,4,5,2,3,1,0,1.255790796,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,1,1,4,1,4,1,1,1.255790796,,,,,
Orange,Purchase,PHEV,Toyota,1,,4,4,1,3,4,1,0,1.33065415,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,3,3,5,1,3,1,0,1.255790796,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,4,4,5,4,4,1,0,1.033841441,,,,,
Santa Clara,Lease,BEV,Nissan,1,,1,4,4,2,1,1,0,1.042087475,,,,,
Orange,Lease,BEV,FIAT,1,,5,5,4,4,4,1,0,1.129722952,,,,,
Los Angeles,Lease,PHEV,Ford,1,,5,5,5,2,5,1,0,1.220057514,,,,,
Orange,Lease,BEV,Other,1,,5,5,4,4,4,1,0,0.874535321,,,,,
Alameda,Purchase,PHEV,Toyota,1,,5,5,4,5,5,1,0,1.337563297,,,,,
Fresno,Lease,BEV,FIAT,1,,4,4,2,3,2,0,1,0.965836393,,,,,
Los Angeles,Purchase,PHEV,Toyota,1,,4,4,1,2,1,1,0,1.30723249,,,,,
Orange,Lease,BEV,Nissan,1,,1,5,4,5,1,1,0,1.226416004,,,,,
Los Angeles,Lease,BEV,Nissan,1,,3,2,4,4,4,1,0,1.204829103,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,0,1.255790796,,,,,
Orange,Lease,BEV,Nissan,1,,5,5,5,5,3,1,0,1.226416004,,,,,
Sacramento,Purchase,PHEV,Toyota,1,,4,4,3,4,,1,0,0.940354999,,,,,
Tuolumne,Purchase,PHEV,Ford,1,,5,5,1,2,5,1,0,0.364240398,,,,,
Los Angeles,Lease,BEV,FIAT,1,,5,,5,,,1,0,1.109838005,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,4,5,1,0,1.255790796,,,,,
San Bernardino,Purchase,PHEV,Chevrolet,1,,5,4,1,3,1,1,1,0.91123,,,,,
Orange,Lease,BEV,Other,1,,4,4,5,2,1,1,0,0.874535321,,,,,
San Francisco,Lease,BEV,Other,1,,5,5,5,5,5,1,0,1.045584819,,,,,
Marin,Lease,BEV,FIAT,1,,5,5,5,5,5,0,0,1.004015195,,,,,
Placer,Lease,BEV,BMW,1,,4,4,4,1,1,1,0,0.695443059,,,,,
Los Angeles,Lease,BEV,Other,1,,5,5,5,5,5,1,1,0.859142089,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,4,5,1,3,1,0,1.025456666,,,,,
Los Angeles,Lease,BEV,FIAT,1,,5,5,5,,4,1,0,1.109838005,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,0,1.033841441,,,,,
Santa Clara,Lease,PHEV,Ford,1,,3,5,5,5,4,1,0,1.088234316,,,,,
Alameda,Lease,BEV,Nissan,1,,2,2,3,1,1,1,0,1.232783915,,,,,
Sacramento,Purchase,PHEV,Ford,1,,3,4,1,1,3,1,0,0.688182577,,,,,
Sacramento,Purchase,PHEV,Toyota,1,,5,5,1,5,5,1,0,0.940354999,,,,,
San Bernardino,Lease,BEV,Other,1,,4,3,5,5,3,1,1,0.774667347,,,,,
Kern,Purchase,BEV,Nissan,1,,3,4,2,1,3,1,1,0.847068779,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,4,1,1,1,1,0,1.002337596,,,,,
Santa Clara,Purchase,PHEV,Chevrolet,1,,5,5,1,5,5,1,0,1.000664573,,,,,
Placer,Lease,PHEV,Chevrolet,1,,5,5,5,5,1,1,0,0.972533891,,,,,
Santa Clara,Purchase,BEV,Nissan,1,,5,5,1,4,3,1,0,0.817125081,,,,,
Alameda,Lease,BEV,Nissan,1,,4,4,4,3,3,1,0,1.232783915,,,,,
Santa Cruz,Purchase,PHEV,Chevrolet,1,,5,3,1,1,1,1,0,0.811469117,,,,,
San Diego,Purchase,PHEV,Ford,1,,5,5,2,5,5,1,0,0.691284086,,,,,
Contra Costa,Purchase,PHEV,Toyota,1,,3,3,4,4,3,1,0,1.287399861,,,,,
San Diego,Purchase,BEV,Tesla,1,,5,5,1,1,1,1,0,0.786183438,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,3,1,1,1,1,0,1.002337596,,,,,
Placer,Purchase,PHEV,Chevrolet,1,,5,5,1,3,2,1,0,0.762586495,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,5,2,3,5,1,0,0.969755576,,,,,
San Francisco,Purchase,PHEV,Chevrolet,1,,5,5,1,3,1,1,0,0.963328782,,,,,
Orange,Purchase,BEV,BMW,1,,5,5,1,2,5,1,0,0.7167552,,,,,
Orange,Lease,BEV,BMW,1,,3,3,5,3,4,1,0,0.895450936,,,,,
San Diego,Lease,BEV,FIAT,1,,1,4,4,1,1,1,0,0.91368445,,,,,
Sacramento,Lease,BEV,Nissan,1,,5,5,5,3,5,1,0,0.866691334,,,,,
Marin,Purchase,BEV,Nissan,1,,5,5,2,5,5,1,0,0.854654351,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.224368966,,,,,
Fresno,Lease,BEV,Nissan,1,,4,4,4,3,4,0,0,1.048502385,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,5,5,,1,0,1.232783915,,,,,
San Diego,Purchase,PHEV,Chevrolet,1,,4,4,1,1,,1,0,0.810659174,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.224368966,,,,,
Santa Clara,Purchase,PHEV,Toyota,1,,5,5,1,1,5,1,0,1.328433127,,,,,
San Diego,Lease,BEV,Nissan,1,,4,4,3,3,,0,0,0.991886754,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,5,5,1,3,4,1,0,0.954964549,,,,,
Contra Costa,Lease,PHEV,Ford,1,,3,3,3,1,4,1,0,1.201547457,,,,,
Santa Clara,Purchase,BEV,Tesla,1,,5,5,,,5,0,0,0.970452121,,,,,
Stanislaus,Lease,BEV,FIAT,1,,1,2,5,1,1,1,0,0.731010856,,,,,
Monterey,Purchase,PHEV,Chevrolet,1,,5,5,1,5,5,1,0,0.742990674,,,,,
San Diego,Purchase,BEV,Other,1,,5,5,1,1,2,1,0,0.554607836,,,,,
San Diego,Lease,BEV,Nissan,1,,5,5,5,3,3,1,0,0.991886754,,,,,
Los Angeles,Lease,BEV,Other,1,,5,5,5,1,5,1,0,0.837122282,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,5,5,,,,1,0,0.954964549,,,,,
Napa,Purchase,PHEV,Ford,1,,5,5,1,2,5,1,0,0.712292664,,,,,
Riverside,Lease,PHEV,Ford,1,,4,4,3,,,1,0,0.926426936,,,,,
Orange,Lease,BEV,Other,1,,,,,,,1,0,0.874535321,,,,,
Ventura,Lease,BEV,FIAT,1,,1,4,4,5,1,1,0,0.904131654,,,,,
Los Angeles,Purchase,BEV,Other,1,,5,5,1,1,5,1,1,0.673673339,,,,,
Fresno,Lease,BEV,Nissan,1,,5,5,5,5,5,0,0,1.048502385,,,,,
San Diego,Lease,BEV,FIAT,1,,5,5,5,1,5,1,0,0.91368445,,,,,
Riverside,Lease,BEV,Nissan,1,,2,2,5,1,1,0,0,1.042319998,,,,,
Shasta,Purchase,PHEV,Ford,1,,4,4,2,3,4,1,0,0.518933276,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,5,1,5,5,1,0,0.969755576,,,,,
San Mateo,Lease,PHEV,Ford,1,,5,5,5,1,5,1,0,1.222564328,,,,,
Los Angeles,Lease,BEV,Other,1,,5,5,5,1,1,1,0,0.991175949,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,1,1,1,0,1.224368966,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,3,5,1,0,1.255790796,,,,,
Los Angeles,Lease,BEV,Other,1,,5,5,5,5,5,0,1,0.859142089,,,,,
San Diego,Purchase,PHEV,Ford,1,,5,5,1,1,3,1,0,0.787592025,,,,,
Ventura,Lease,BEV,Nissan,1,,5,5,5,4,3,1,0,0.835390235,,,,,
Los Angeles,Purchase,PHEV,Toyota,1,,5,5,1,5,5,1,0,1.30723249,,,,,
Orange,Lease,BEV,Other,1,,5,5,5,,,1,0,1.00893483,,,,,
Tuolumne,Purchase,PHEV,Toyota,1,,4,4,1,1,1,0,0,0.567049572,,,,,
Contra Costa,Purchase,PHEV,Ford,1,,4,4,1,1,4,1,0,0.94216137,,,,,
El Dorado,Lease,BEV,Nissan,1,,2,2,4,5,2,1,0,0.841707897,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,4,4,1,1,1,1,0,0.984694837,,,,,
Santa Clara,Purchase,PHEV,Chevrolet,1,,4,3,1,1,2,1,0,1.000664573,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,1,1.255790796,,,,,
Orange,Lease,BEV,FIAT,1,,5,5,5,5,5,1,0,1.129722952,,,,,
Alameda,Purchase,BEV,Nissan,1,,5,5,3,4,4,1,0,0.966654605,,,,,
San Mateo,Purchase,PHEV,Toyota,1,,5,5,4,3,5,1,0,1.309918421,,,,,
Marin,Purchase,BEV,Nissan,1,,2,3,2,2,2,1,0,0.854654351,,,,,
San Diego,Purchase,BEV,Other,1,,4,4,1,1,1,0,0,0.554607836,,,,,
Los Angeles,Lease,BEV,Other,1,,3,3,1,1,1,1,0,0.837122282,,,,,
San Diego,Purchase,BEV,Tesla,1,,1,1,1,2,1,1,0,0.786183438,,,,,
San Diego,Purchase,BEV,Nissan,1,,4,4,1,1,2,1,0,0.777761526,,,,,
San Diego,Lease,BEV,Other,1,,5,5,5,4,4,1,0,0.81599481,,,,,
San Diego,Purchase,BEV,Tesla,1,,5,5,5,4,5,1,0,0.786183438,,,,,
San Diego,Purchase,BEV,BMW,1,,5,5,1,5,5,1,0,0.579689099,,,,,
Sonoma,Lease,PHEV,Ford,1,,2,5,4,1,5,1,0,0.984823529,,,,,
Fresno,Purchase,BEV,Tesla,1,,4,4,2,2,4,0,0,0.781419268,,,,,
San Diego,Purchase,PHEV,Chevrolet,1,,5,5,1,2,1,1,0,0.810659174,,,,,
San Diego,Lease,BEV,Nissan,1,,1,2,4,4,1,1,0,0.991886754,,,,,
Alameda,Lease,BEV,Nissan,1,,3,3,5,1,3,1,0,1.232783915,,,,,
San Mateo,Lease,BEV,Ford,1,,4,4,3,2,1,1,0,0.965804999,,,,,
Riverside,Purchase,PHEV,Chevrolet,1,,,,,,,1,0,0.851877762,,,,,
Orange,Lease,BEV,Nissan,1,,5,5,5,3,3,0,0,1.226416004,,,,,
Santa Cruz,Purchase,PHEV,Ford,1,,4,3,1,3,1,1,0,0.788378921,,,,,
Alameda,Lease,BEV,FIAT,1,,5,5,5,2,5,1,0,1.135588805,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,1,1.255790796,,,,,
Santa Clara,Purchase,BEV,Tesla,1,,3,3,1,1,1,1,0,0.970452121,,,,,
San Diego,Purchase,PHEV,Ford,1,,2,3,1,2,2,1,0,0.691284086,,,,,
Santa Clara,Purchase,PHEV,Chevrolet,1,,5,4,1,4,2,1,0,1.000664573,,,,,
Los Angeles,Lease,PHEV,Ford,1,,4,4,5,4,4,1,1,1.220057514,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,5,5,4,1,0,1.232783915,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,5,5,1,1,1,1,0,0.984694837,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,4,5,5,5,1,0,1.204829103,,,,,
Orange,Purchase,BEV,Tesla,1,,4,4,1,3,,1,0,0.972074631,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,3,3,3,3,1,0,1.002337596,,,,,
Santa Clara,Lease,BEV,Nissan,1,,3,3,3,2,1,0,0,1.224368966,,,,,
Sonoma,Purchase,PHEV,Ford,1,,1,1,1,2,1,1,0,0.677794484,,,,,
San Mateo,Lease,BEV,Other,1,,5,4,5,1,4,1,0,0.860907342,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,5,5,1,3,1,1,0,0.984694837,,,,,
San Mateo,Purchase,PHEV,Chevrolet,1,,3,3,1,2,1,1,0,0.986718059,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,4,1,4,1,1,1.255790796,,,,,
Orange,Purchase,BEV,Tesla,1,,5,5,1,4,1,1,0,0.972074631,,,,,
Santa Clara,Lease,PHEV,Chevrolet,1,,3,5,5,5,,1,0,1.276157154,,,,,
Los Angeles,Purchase,PHEV,Ford,1,,3,2,1,4,1,1,0,0.956675537,,,,,
San Diego,Lease,BEV,Other,1,,5,5,5,5,5,1,0,0.707296707,,,,,
San Diego,Lease,PHEV,Ford,1,,3,3,5,1,3,1,0,0.881601244,,,,,
Orange,Purchase,BEV,Other,1,,4,4,1,1,2,1,0,0.791129319,,,,,
Riverside,Purchase,PHEV,Ford,1,,4,4,3,3,2,1,0,0.827637747,,,,,
Orange,Lease,BEV,Other,1,,4,5,4,2,2,1,0,0.874535321,,,,,
Los Angeles,Lease,BEV,Other,1,,2,4,3,1,1,1,1,1.068775263,,,,,
San Bernardino,Lease,BEV,Nissan,1,,5,5,3,5,5,1,0,0.948950723,,,,,
Alameda,Purchase,PHEV,Chevrolet,1,,5,5,1,1,1,1,0,1.007542027,,,,,
Fresno,Lease,BEV,Nissan,1,,2,2,4,2,3,0,0,1.048502385,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,4,1,2,4,1,0,1.002337596,,,,,
Ventura,Purchase,PHEV,Chevrolet,1,,5,5,1,3,5,1,0,0.802183533,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,1,1,1,1,0,1.148494974,,,,,
Santa Clara,Lease,BEV,Other,1,,3,5,5,5,3,1,0,0.873075616,,,,,
San Diego,Lease,BEV,Nissan,1,,5,5,5,1,1,1,0,0.991886754,,,,,
Sonoma,Lease,BEV,Other,1,,1,5,5,1,1,0,0,0.675720374,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,5,5,1,1,1,1.232783915,,,,,
Sonoma,Lease,BEV,Chevrolet,1,,3,3,4,1,1,1,0,0.708679764,,,,,
Sacramento,Purchase,PHEV,Chevrolet,1,,5,5,4,3,4,1,0,0.708338203,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,3,2,1,1,1,1,0,0.954964549,,,,,
Santa Clara,Purchase,PHEV,Ford,1,,5,5,1,5,1,1,0,0.853309895,,,,,
San Diego,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,0.991886754,,,,,
Riverside,Lease,BEV,Nissan,1,,5,5,5,1,1,1,1,1.042319998,,,,,
Los Angeles,Lease,BEV,BMW,1,,1,4,4,1,1,1,0,0.897995433,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,5,5,3,1,0,1.255790796,,,,,
Orange,Lease,PHEV,Chevrolet,1,,1,5,5,3,5,1,0,1.278290776,,,,,
Orange,Lease,BEV,Toyota,1,,5,5,5,5,5,1,0,0.92441829,,,,,
Ventura,Lease,PHEV,Ford,1,,4,3,4,2,2,1,0,0.993922188,,,,,
San Diego,Purchase,BEV,Nissan,1,,2,5,1,5,5,0,0,0.777761526,,,,,
Santa Clara,Purchase,PHEV,Toyota,1,,5,5,4,4,4,1,0,1.328433127,,,,,
San Diego,Purchase,BEV,Other,1,,5,5,1,4,5,1,0,0.554607836,,,,,
Los Angeles,Lease,BEV,Nissan,1,,3,3,3,2,1,1,0,1.204829103,,,,,
San Diego,Lease,BEV,Nissan,1,,5,1,5,3,3,0,0,0.991886754,,,,,
Santa Clara,Lease,BEV,Other,1,,5,5,5,5,4,1,0,0.850698693,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,4,3,1,5,1,1,0,0.984694837,,,,,
Los Angeles,Purchase,PHEV,Other,1,,5,5,1,3,3,1,0,0.863450739,,,,,
Ventura,Lease,BEV,FIAT,1,,5,5,5,5,5,1,0,0.904131654,,,,,
Yolo,Purchase,PHEV,Ford,1,,5,4,,4,4,1,0,0.637111741,,,,,
Orange,Purchase,BEV,Tesla,1,,3,3,3,3,,1,0,0.972074631,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,5,4,5,1,0,1.204829103,,,,,
Orange,Lease,PHEV,Ford,1,,5,5,4,4,3,1,0,1.241917261,,,,,
Santa Clara,Purchase,BEV,BMW,1,,5,5,1,2,,1,0,0.70097199,,,,,
Contra Costa,Lease,BEV,Tesla,1,,1,5,5,5,5,1,0,1.127759261,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,5,5,5,5,5,1,0,0.954964549,,,,,
Santa Clara,Purchase,BEV,Ford,1,,5,5,1,5,2,1,0,0.768014221,,,,,
Placer,Purchase,PHEV,Toyota,1,,5,5,1,3,5,1,0,1.012372366,,,,,
Contra Costa,Lease,PHEV,Ford,1,,3,3,3,1,,1,0,1.201547457,,,,,
Los Angeles,Lease,BEV,BMW,1,,3,4,4,3,3,1,0,0.897995433,,,,,
Placer,Lease,BEV,Toyota,1,,4,4,5,2,1,1,0,0.703304861,,,,,
Alameda,Lease,BEV,Nissan,1,,4,5,5,4,1,1,0,1.232783915,,,,,
Santa Clara,Lease,PHEV,Chevrolet,1,,2,2,5,3,2,1,0,1.276157154,,,,,
Marin,Purchase,PHEV,Chevrolet,1,,3,3,1,1,2,1,0,0.890804401,,,,,
San Francisco,Lease,BEV,FIAT,1,,1,5,5,4,1,1,0,1.085756575,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,5,5,1,5,5,1,0,1.002337596,,,,,
Humboldt,Purchase,PHEV,Ford,1,,5,5,1,2,5,0,0,0.650394585,,,,,
Alameda,Purchase,PHEV,Toyota,1,,5,5,1,2,5,1,0,1.337563297,,,,,
Los Angeles,Lease,BEV,Tesla,1,,4,4,4,1,1,1,1,1.217875474,,,,,
San Joaquin,Lease,BEV,Other,1,,1,5,5,1,5,1,1,0.689653294,,,,,
Sonoma,Lease,BEV,Ford,1,,2,3,2,2,2,1,0,0.777993816,,,,,
Fresno,Purchase,PHEV,Toyota,1,,1,1,1,1,5,0,0,1.137618921,,,,,
Fresno,Lease,PHEV,Chevrolet,1,,4,4,4,3,3,1,1,1.092851793,,,,,
Fresno,Lease,BEV,BMW,1,,5,5,5,3,5,0,0,0.78148042,,,,,
Los Angeles,Purchase,PHEV,Other,1,,5,5,1,5,1,0,0,0.863450739,,,,,
San Diego,Purchase,PHEV,Toyota,1,,5,5,1,1,5,1,0,1.076191294,,,,,
Alameda,Purchase,PHEV,Chevrolet,1,,4,4,1,1,4,1,0,1.007542027,,,,,
Los Angeles,Lease,BEV,FIAT,1,,4,4,5,5,2,1,0,1.109838005,,,,,
Sonoma,Lease,BEV,BMW,1,,5,5,5,1,1,1,0,0.710080437,,,,,
Santa Clara,Lease,BEV,FIAT,1,,4,3,5,4,3,1,0,1.127837307,,,,,
Santa Clara,Lease,BEV,Nissan,1,,2,4,2,5,1,1,0,1.224368966,,,,,
San Francisco,Lease,BEV,Other,1,,5,5,3,1,5,1,0,0.818958278,,,,,
Orange,Lease,PHEV,Toyota,1,,5,5,5,5,5,1,0,1.696996035,,,,,
Santa Clara,Lease,BEV,Nissan,1,,2,5,4,1,3,0,0,1.042087475,,,,,
San Bernardino,Lease,BEV,Toyota,1,,4,4,4,3,3,1,1,0.840393179,,,,,
Ventura,Purchase,PHEV,Chevrolet,1,,5,5,1,1,1,1,0,0.802183533,,,,,
Alameda,Lease,BEV,FIAT,1,,1,5,5,5,1,1,0,1.135588805,,,,,
Fresno,Lease,BEV,Nissan,1,,5,5,5,1,5,0,0,1.048502385,,,,,
Sonoma,Lease,PHEV,Toyota,1,,3,4,4,1,1,1,0,1.345694819,,,,,
San Francisco,Purchase,BEV,Nissan,1,,4,4,1,5,4,0,0,0.786637332,,,,,
Los Angeles,Lease,PHEV,Ford,1,,4,2,5,5,1,1,0,1.220057514,,,,,
San Diego,Purchase,PHEV,Chevrolet,1,,5,4,1,1,5,1,0,0.810659174,,,,,
Stanislaus,Lease,BEV,Chevrolet,1,,5,5,5,5,5,1,0,0.578277312,,,,,
Riverside,Purchase,BEV,Nissan,1,,4,4,1,1,1,1,1,0.817307408,,,,,
San Francisco,Lease,BEV,FIAT,1,,5,5,5,1,5,1,0,1.085756575,,,,,
Los Angeles,Lease,PHEV,Ford,1,,1,1,1,1,1,1,0,1.070867044,,,,,
Los Angeles,Purchase,BEV,Nissan,1,,4,4,3,2,1,1,1,0.804084476,,,,,
Alameda,Lease,BEV,Nissan,1,,2,5,2,5,5,1,0,1.232783915,,,,,
San Francisco,Purchase,PHEV,Ford,1,,4,4,4,4,4,1,0,0.935917449,,,,,
Santa Clara,Lease,BEV,Nissan,1,,4,4,4,5,3,1,0,1.224368966,,,,,
Santa Clara,Lease,BEV,Other,1,,5,5,3,5,5,1,0,1.007250795,,,,,
San Joaquin,Purchase,PHEV,Other,1,,5,5,1,3,5,0,0,0.600782986,,,,,
Santa Clara,Lease,BEV,Other,1,,5,5,4,2,1,1,0,0.850698693,,,,,
Santa Clara,Lease,PHEV,Ford,1,,5,5,5,5,5,1,0,1.088234316,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,4,4,2,4,4,0,1,0.954964549,,,,,
Santa Clara,Lease,BEV,FIAT,1,,4,4,4,4,3,1,0,1.127837307,,,,,
Orange,Purchase,PHEV,Toyota,1,,4,4,3,3,5,1,0,1.33065415,,,,,
Alameda,Purchase,PHEV,Toyota,1,,5,5,,,5,1,0,1.337563297,,,,,
Monterey,Purchase,BEV,Ford,1,,4,4,1,1,4,1,0,0.570248431,,,,,
Los Angeles,Lease,BEV,Other,1,,2,3,3,4,,1,0,0.991175949,,,,,
Marin,Lease,BEV,FIAT,1,,4,4,4,1,4,1,0,1.004015195,,,,,
Contra Costa,Lease,PHEV,Ford,1,,5,5,3,3,4,1,0,1.201547457,,,,,
Orange,Lease,BEV,Tesla,1,,3,3,2,1,4,1,0,1.239696126,,,,,
Los Angeles,Lease,BEV,FIAT,1,,4,4,4,5,1,1,0,1.109838005,,,,,
El Dorado,Lease,BEV,FIAT,1,,5,5,5,1,1,1,0,0.775345989,,,,,
Orange,Lease,PHEV,Ford,1,,5,5,1,1,1,1,0,1.241917261,,,,,
Contra Costa,Purchase,BEV,FIAT,1,,4,4,1,4,1,1,0,0.857046888,,,,,
Contra Costa,Lease,BEV,FIAT,1,,5,4,5,3,1,,0,1.093000139,,,,,
San Bernardino,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.114940774,,,,,
Riverside,Lease,BEV,FIAT,1,,2,5,3,5,3,1,0,0.960141438,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.042087475,,,,,
San Bernardino,Purchase,PHEV,Chevrolet,1,,5,5,3,3,3,0,0,0.91123,,,,,
Kern,Lease,BEV,FIAT,1,,5,5,5,2,5,0,0,0.995103956,,,,,
Sonoma,Purchase,BEV,Tesla,1,,,3,1,1,,1,0,0.770841986,,,,,
Santa Clara,Lease,PHEV,Ford,1,,3,3,4,3,4,1,0,1.239844351,,,,,
San Diego,Lease,PHEV,Ford,1,,3,3,3,1,3,1,0,1.004423684,,,,,
San Diego,Lease,PHEV,Other,1,,5,4,3,1,2,1,0,0.90654599,,,,,
San Bernardino,Lease,BEV,Other,1,,5,5,5,5,5,1,0,0.795044329,,,,,
Los Angeles,Lease,BEV,FIAT,1,,4,3,5,3,,1,0,1.109838005,,,,,
San Diego,Lease,BEV,BMW,1,,1,5,4,4,4,1,0,0.739283084,,,,,
Los Angeles,Lease,BEV,Nissan,1,,3,3,5,1,1,1,0,1.204829103,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,4,4,3,4,1,0,1.204829103,,,,,
Alameda,Lease,BEV,Other,1,,5,5,4,5,5,1,0,1.014173515,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,3,1,1,4,1,0,1.002337596,,,,,
Alameda,Purchase,BEV,Tesla,1,,5,5,1,5,5,1,0,0.977121928,,,,,
Los Angeles,Lease,BEV,Other,1,,5,5,,5,5,1,0,0.859142089,,,,,
Riverside,Lease,PHEV,Ford,1,,4,4,5,3,3,1,0,1.055494378,,,,,
Riverside,Purchase,PHEV,Ford,1,,5,5,1,5,4,1,0,0.827637747,,,,,
Sacramento,Lease,BEV,Nissan,1,,3,1,5,5,2,1,0,0.866691334,,,,,
