home_loc,dest_loc,HomeTAZfactor,superD_dest,n,dest_lat,dest_lon,HomeTAZ,home_lat,home_lon,opt_time,pes_time,transit_time
37.241013975+-121.890608175,37.2504822831612+-121.839468711676,688,13.0,1265,37.25048228,-121.8394687,688,37.24101398,-121.8906082,451.0,708.0,1479.0
37.2413721282051+-121.957482769231,37.3010931597673+-121.989369051801,518,10.0,999,37.30109316,-121.9893691,518,37.24137213,-121.9574828,804.0,1305.0,6224.0
37.2430201428571+-121.844845114286,37.2504822831612+-121.839468711676,675,13.0,836,37.25048228,-121.8394687,675,37.24302014,-121.8448451,126.0,154.0,908.0
37.2446068214286+-121.831026919643,37.2504822831612+-121.839468711676,674,13.0,829,37.25048228,-121.8394687,674,37.24460682,-121.8310269,199.0,238.0,1130.0
37.2456584010417+-121.864929994792,37.2504822831612+-121.839468711676,676,13.0,1379,37.25048228,-121.8394687,676,37.2456584,-121.86493,316.0,459.0,1397.0
37.2475811578947+-121.937063131579,37.3010931597673+-121.989369051801,517,10.0,826,37.30109316,-121.9893691,517,37.24758116,-121.9370631,744.0,1078.0,4287.0
37.2493722222222+-121.812759916667,37.2504822831612+-121.839468711676,665,13.0,777,37.25048228,-121.8394687,665,37.24937222,-121.8127599,273.0,504.0,1050.0
37.2521560866142+-121.816412456693,37.2504822831612+-121.839468711676,666,13.0,919,37.25048228,-121.8394687,666,37.25215609,-121.8164125,247.0,455.0,925.0
37.25348975+-121.864486886364,37.2504822831612+-121.839468711676,677,13.0,829,37.25048228,-121.8394687,677,37.25348975,-121.8644869,225.0,340.0,1225.0
37.2559494642857+-121.828870202381,37.2504822831612+-121.839468711676,667,13.0,928,37.25048228,-121.8394687,667,37.25594946,-121.8288702,222.0,353.0,1072.0
37.259622875+-122.007049638889,37.3010931597673+-121.989369051801,497,10.0,1015,37.30109316,-121.9893691,497,37.25962288,-122.0070496,586.0,774.0,2407.0
37.2600375964912+-121.982644649123,37.3010931597673+-121.989369051801,507,10.0,745,37.30109316,-121.9893691,507,37.2600376,-121.9826446,604.0,819.0,2857.0
37.2601093902439+-121.945008890244,37.3010931597673+-121.989369051801,519,10.0,1274,37.30109316,-121.9893691,519,37.26010939,-121.9450089,629.0,976.0,4196.0
37.2609600714286+-121.825028071429,37.2504822831612+-121.839468711676,668,13.0,816,37.25048228,-121.8394687,668,37.26096007,-121.8250281,254.0,434.0,1425.0
37.2620763942308+-121.808018365385,37.2504822831612+-121.839468711676,669,13.0,1535,37.25048228,-121.8394687,669,37.26207639,-121.8080184,403.0,628.0,3104.0
37.2654375714286+-122.044492771429,37.3010931597673+-121.989369051801,495,10.0,1338,37.30109316,-121.9893691,495,37.26543757,-122.0444928,770.0,1004.0,5340.0
37.2687704285714+-121.863588142857,37.3207019697235+-121.904550622856,680,11.0,744,37.32070197,-121.9045506,680,37.268770429999996,-121.8635881,719.0,963.0,3250.0
37.2692952676056+-121.975098704225,37.3010931597673+-121.989369051801,500,10.0,720,37.30109316,-121.9893691,500,37.26929527,-121.9750987,584.0,780.0,2796.0
37.2699197857143+-121.910786619048,37.3207019697235+-121.904550622856,523,11.0,943,37.32070197,-121.9045506,523,37.26991979,-121.9107866,696.0,1070.0,2021.0
37.2701224166667+-121.811736333333,37.2504822831612+-121.839468711676,670,13.0,1122,37.25048228,-121.8394687,670,37.27012242,-121.8117363,463.0,726.0,2594.0
37.2709066160714+-121.960007535714,37.3010931597673+-121.989369051801,505,10.0,1082,37.30109316,-121.9893691,505,37.27090662,-121.9600075,634.0,924.0,2935.0
37.2716346666667+-122.023936666667,37.3010931597673+-121.989369051801,494,10.0,1042,37.30109316,-121.9893691,494,37.27163467,-122.0239367,541.0,845.0,2630.0
37.2716609569892+-121.836100177419,37.2504822831612+-121.839468711676,671,13.0,772,37.25048228,-121.8394687,671,37.27166096,-121.8361002,356.0,620.0,1260.0
37.272592362963+-121.936076303704,37.3010931597673+-121.989369051801,521,10.0,711,37.30109316,-121.9893691,521,37.27259236,-121.9360763,625.0,968.0,2642.0
37.2728963043478+-121.928483869565,37.3207019697235+-121.904550622856,522,11.0,727,37.32070197,-121.9045506,522,37.2728963,-121.9284839,697.0,1068.0,1837.0
37.2791515684803+-121.953571722326,37.3010931597673+-121.989369051801,503,10.0,982,37.30109316,-121.9893691,503,37.27915157,-121.9535717,519.0,746.0,2781.0
37.2815235111111+-121.999320933333,37.3010931597673+-121.989369051801,498,10.0,674,37.30109316,-121.9893691,498,37.28152351,-121.9993209,353.0,496.0,1513.0
37.2824171666667+-121.97158075,37.3010931597673+-121.989369051801,501,10.0,704,37.30109316,-121.9893691,501,37.28241717,-121.9715808,436.0,552.0,1774.0
37.284029145+-121.934783585,37.3010931597673+-121.989369051801,530,10.0,711,37.30109316,-121.9893691,530,37.28402915,-121.9347836,700.0,996.0,2293.0
37.284029145+-121.934783585,37.3207019697235+-121.904550622856,530,11.0,909,37.32070197,-121.9045506,530,37.28402915,-121.9347836,627.0,987.0,2718.0
37.2841026833333+-121.987345025,37.3010931597673+-121.989369051801,499,10.0,1388,37.30109316,-121.9893691,499,37.28410268,-121.987345,357.0,481.0,1927.0
37.2856629947368+-121.876420236842,37.3207019697235+-121.904550622856,564,11.0,1196,37.32070197,-121.9045506,564,37.28566299,-121.8764202,521.0,688.0,2650.0
37.2866708245614+-121.861285350877,37.3207019697235+-121.904550622856,566,11.0,817,37.32070197,-121.9045506,566,37.28667082,-121.8612854,601.0,800.0,3677.0
37.2890510434783+-121.840655173913,37.3207019697235+-121.904550622856,568,11.0,1305,37.32070197,-121.9045506,568,37.28905104,-121.8406552,728.0,1183.0,3239.0
37.2911197142857+-122.017324628571,37.3010931597673+-121.989369051801,493,10.0,983,37.30109316,-121.9893691,493,37.29111971,-122.0173246,379.0,494.0,1836.0
37.2923317681159+-121.981908115942,37.3010931597673+-121.989369051801,475,10.0,868,37.30109316,-121.9893691,475,37.29233177,-121.9819081,305.0,316.0,1459.0
37.2925522682927+-121.778265487805,37.3207019697235+-121.904550622856,655,11.0,683,37.32070197,-121.9045506,655,37.29255227,-121.7782655,719.0,952.0,5453.0
37.2925522682927+-121.778265487805,37.3861960858995+-121.866317929335,655,12.0,1438,37.38619609,-121.8663179,655,37.29255227,-121.7782655,752.0,955.0,4992.0
37.2930745205479+-121.969341506849,37.3010931597673+-121.989369051801,502,10.0,771,37.30109316,-121.9893691,502,37.29307452,-121.9693415,317.0,409.0,1519.0
37.2952125+-121.892769705128,37.3207019697235+-121.904550622856,526,11.0,1004,37.32070197,-121.9045506,526,37.2952125,-121.8927697,430.0,656.0,1531.0
37.296811625+-121.755924825,37.3861960858995+-121.866317929335,654,12.0,812,37.38619609,-121.8663179,654,37.29681163,-121.7559248,1049.0,1342.0,5625.0
37.2981322253521+-121.953507422535,37.3010931597673+-121.989369051801,469,10.0,1326,37.30109316,-121.9893691,469,37.29813223,-121.9535074,418.0,543.0,1928.0
37.2981322253521+-121.953507422535,37.3207019697235+-121.904550622856,469,11.0,719,37.32070197,-121.9045506,469,37.29813223,-121.9535074,635.0,995.0,3630.0
37.2988727352941+-121.970239411765,37.3010931597673+-121.989369051801,474,10.0,731,37.30109316,-121.9893691,474,37.29887274,-121.9702394,240.0,314.0,1752.0
37.2990910576923+-121.991464384615,37.3010931597673+-121.989369051801,476,10.0,1143,37.30109316,-121.9893691,476,37.29909106,-121.9914644,64.0,64.0,311.0
37.2997986071429+-122.035058892857,37.3010931597673+-121.989369051801,492,10.0,1086,37.30109316,-121.9893691,492,37.29979861,-122.0350589,514.0,664.0,3081.0
37.2999275+-121.8378071875,37.3207019697235+-121.904550622856,574,11.0,699,37.32070197,-121.9045506,574,37.2999275,-121.8378072,719.0,1256.0,3323.0
37.3020137+-122.018222133333,37.3010931597673+-121.989369051801,482,10.0,785,37.30109316,-121.9893691,482,37.3020137,-122.0182221,354.0,465.0,1976.0
37.3024064054054+-121.946437405405,37.3010931597673+-121.989369051801,468,10.0,831,37.30109316,-121.9893691,468,37.30240641,-121.9464374,485.0,606.0,2476.0
37.3034807282609+-121.906691934783,37.3207019697235+-121.904550622856,528,11.0,1095,37.32070197,-121.9045506,528,37.30348073,-121.9066919,309.0,394.0,1925.0
37.3037862630058+-122.029963121387,37.3010931597673+-121.989369051801,483,10.0,1499,37.30109316,-121.9893691,483,37.30378626,-122.0299631,433.0,558.0,2385.0
37.3042559565217+-122.009847086957,37.3010931597673+-121.989369051801,481,10.0,748,37.30109316,-121.9893691,481,37.30425596,-122.0098471,283.0,346.0,2082.0
37.3044203973941+-121.922486136808,37.3207019697235+-121.904550622856,532,11.0,1155,37.32070197,-121.9045506,532,37.3044204,-121.9224861,313.0,474.0,971.0
37.30477265625+-122.048188015625,37.3010931597673+-121.989369051801,489,10.0,1228,37.30109316,-121.9893691,489,37.30477266,-122.048188,685.0,853.0,4077.0
37.3052639268293+-121.889753219512,37.3207019697235+-121.904550622856,527,11.0,1189,37.32070197,-121.9045506,527,37.30526393,-121.8897532,345.0,494.0,1901.0
37.3059394615385+-121.846371461538,37.3207019697235+-121.904550622856,567,11.0,1222,37.32070197,-121.9045506,567,37.30593946,-121.8463715,634.0,1081.0,3129.0
37.3060058367347+-121.971839571429,37.3010931597673+-121.989369051801,473,10.0,1423,37.30109316,-121.9893691,473,37.30600584,-121.9718396,283.0,327.0,1698.0
37.308697+-121.819219555556,37.3861960858995+-121.866317929335,582,12.0,1161,37.38619609,-121.8663179,582,37.308697,-121.8192196,637.0,770.0,4016.0
