HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
13,1.0,11.0,9.0,61,37.78987146153846,-122.39875576923076,37.788717654718205,-122.40900092053552
14,1.0,12.0,12.0,50,37.79108666923077,-122.39588184615384,37.788717654718205,-122.40900092053552
15,1.0,14.0,16.0,288,37.78883218,-122.3936511,37.788717654718205,-122.40900092053552
15,2.0,20.0,31.0,28,37.78883218179961,-122.39365110949,37.78494491888719,-122.44528827456274
15,3.0,20.0,20.0,29,37.78883218179961,-122.39365110949,37.75073743885415,-122.42052814221317
16,1.0,13.0,19.0,568,37.78790831,-122.3942171,37.788717654718205,-122.40900092053552
16,2.0,24.0,32.0,54,37.78790830533118,-122.39421714054927,37.78494491888719,-122.44528827456274
16,3.0,22.0,23.0,99,37.78790830533118,-122.39421714054927,37.75073743885415,-122.42052814221317
16,4.0,27.0,37.0,20,37.78790830533118,-122.39421714054927,37.742438374444,-122.4808705677315
16,18.0,20.0,51.0,31,37.78790830533118,-122.39421714054927,37.79525905351587,-122.23454234396391
17,1.0,16.0,24.0,1716,37.78558955,-122.3908809,37.788717654718205,-122.40900092053552
17,2.0,27.0,32.0,188,37.78558955060034,-122.39088085248713,37.78494491888719,-122.44528827456274
17,3.0,17.0,27.0,385,37.78558955,-122.3908809,37.75073743885415,-122.42052814221317
17,4.0,34.0,36.0,40,37.78558955060034,-122.39088085248713,37.742438374444,-122.4808705677315
17,5.0,31.0,61.0,84,37.78558955060034,-122.39088085248713,37.65355542190556,-122.44983365772562
17,6.0,34.0,64.0,27,37.78558955060034,-122.39088085248713,37.54880006373962,-122.3030570928971
17,18.0,32.0,56.0,96,37.78558955060034,-122.39088085248713,37.79525905351587,-122.23454234396391
17,19.0,34.0,49.0,49,37.78558955060034,-122.39088085248713,37.86314654588441,-122.27415722294221
18,1.0,16.0,18.0,92,37.77931353169734,-122.39691013292433,37.788717654718205,-122.40900092053552
18,3.0,19.0,25.0,42,37.77931353169734,-122.39691013292433,37.75073743885415,-122.42052814221317
19,1.0,13.0,20.0,313,37.77219101,-122.4063809,37.788717654718205,-122.40900092053552
19,2.0,22.0,36.0,61,37.77219101190476,-122.40638089285714,37.78494491888719,-122.44528827456274
19,3.0,14.0,25.0,187,37.77219101190476,-122.40638089285714,37.75073743885415,-122.42052814221317
19,5.0,17.0,58.0,23,37.77219101190476,-122.40638089285714,37.65355542190556,-122.44983365772562
20,1.0,14.0,21.0,497,37.77435171,-122.412539,37.788717654718205,-122.40900092053552
20,2.0,16.0,40.0,85,37.774351708333334,-122.41253902314814,37.78494491888719,-122.44528827456274
20,3.0,16.0,21.0,172,37.774351708333334,-122.41253902314814,37.75073743885415,-122.42052814221317
20,4.0,32.0,28.0,49,37.774351708333334,-122.41253902314814,37.742438374444,-122.4808705677315
20,5.0,20.0,52.0,31,37.774351708333334,-122.41253902314814,37.65355542190556,-122.44983365772562
21,1.0,10.0,16.0,668,37.78155931,-122.4017222,37.788717654718205,-122.40900092053552
21,2.0,23.0,37.0,112,37.781559306896554,-122.40172217413793,37.78494491888719,-122.44528827456274
21,3.0,12.0,20.0,192,37.78155931,-122.4017222,37.75073743885415,-122.42052814221317
21,4.0,23.0,35.0,31,37.781559306896554,-122.40172217413793,37.742438374444,-122.4808705677315
21,5.0,18.0,54.0,28,37.781559306896554,-122.40172217413793,37.65355542190556,-122.44983365772562
21,18.0,32.0,55.0,35,37.781559306896554,-122.40172217413793,37.79525905351587,-122.23454234396391
22,1.0,12.0,15.0,428,37.79736702,-122.3990536,37.788717654718205,-122.40900092053552
22,2.0,22.0,34.0,55,37.797367015151515,-122.39905362121212,37.78494491888719,-122.44528827456274
22,3.0,31.0,20.0,73,37.797367015151515,-122.39905362121212,37.75073743885415,-122.42052814221317
22,5.0,31.0,54.0,23,37.797367015151515,-122.39905362121212,37.65355542190556,-122.44983365772562
22,18.0,36.0,53.0,37,37.797367015151515,-122.39905362121212,37.79525905351587,-122.23454234396391
23,1.0,12.0,20.0,166,37.79977893835617,-122.40146492465753,37.788717654718205,-122.40900092053552
23,2.0,17.0,39.0,23,37.79977893835617,-122.40146492465753,37.78494491888719,-122.44528827456274
23,3.0,25.0,26.0,26,37.79977893835617,-122.40146492465753,37.75073743885415,-122.42052814221317
24,1.0,9.0,14.0,139,37.79513108695652,-122.40301786956522,37.788717654718205,-122.40900092053552
24,3.0,24.0,21.0,26,37.79513108695652,-122.40301786956522,37.75073743885415,-122.42052814221317
25,1.0,7.0,10.0,617,37.79513156,-122.407338,37.788717654718205,-122.40900092053552
25,2.0,18.0,29.0,117,37.79513155555556,-122.40733800000001,37.78494491888719,-122.44528827456274
25,3.0,32.0,26.0,94,37.79513155555556,-122.40733800000001,37.75073743885415,-122.42052814221317
25,5.0,34.0,59.0,21,37.79513155555556,-122.40733800000001,37.65355542190556,-122.44983365772562
26,1.0,5.0,8.0,323,37.7929451,-122.4073008,37.788717654718205,-122.40900092053552
26,2.0,15.0,26.0,54,37.792945100000004,-122.4073008,37.78494491888719,-122.44528827456274
26,3.0,30.0,24.0,59,37.792945100000004,-122.4073008,37.75073743885415,-122.42052814221317
27,1.0,6.0,5.0,697,37.79383783,-122.4090675,37.788717654718205,-122.40900092053552
27,2.0,17.0,26.0,131,37.79383782954546,-122.40906745454545,37.78494491888719,-122.44528827456274
27,3.0,32.0,28.0,86,37.79383782954546,-122.40906745454545,37.75073743885415,-122.42052814221317
28,1.0,6.0,9.0,883,37.7930602,-122.4136756,37.788717654718205,-122.40900092053552
28,2.0,13.0,23.0,158,37.79306019548872,-122.41367560150377,37.78494491888719,-122.44528827456274
28,3.0,28.0,31.0,137,37.79306019548872,-122.41367560150377,37.75073743885415,-122.42052814221317
28,5.0,33.0,63.0,44,37.79306019548872,-122.41367560150377,37.65355542190556,-122.44983365772562
28,18.0,43.0,60.0,38,37.79306019548872,-122.41367560150377,37.79525905351587,-122.23454234396391
29,1.0,2.0,3.0,1206,37.79109082,-122.4107169,37.788717654718205,-122.40900092053552
29,2.0,10.0,27.0,225,37.79109082,-122.4107169,37.78494491888719,-122.44528827456274
29,3.0,23.0,21.0,197,37.79109082,-122.4107169,37.75073743885415,-122.42052814221317
29,4.0,31.0,32.0,33,37.79109081846154,-122.41071688923077,37.742438374444,-122.4808705677315
