SUPERD,mean_lat,mean_lon
1.0,37.788717654718205,-122.40900092053552
2.0,37.78494491888719,-122.44528827456274
3.0,37.75073743885415,-122.42052814221317
4.0,37.742438374444,-122.4808705677315
5.0,37.65355542190556,-122.44983365772562
6.0,37.54880006373962,-122.3030570928971
7.0,37.47214435064935,-122.21810121513269
8.0,37.40882469714071,-122.11019452765237
9.0,37.378751941477816,-121.99458476686637
10.0,37.301093159767284,-121.98936905180129
11.0,37.32070196972349,-121.90455062285614
12.0,37.38619608589951,-121.8663179293355
13.0,37.25048228316124,-121.83946871167593
14.0,37.05767921590909,-121.60403909517045
15.0,37.69330928665368,-121.85978786629323
16.0,37.55245694799005,-121.99331172254455
17.0,37.68087262885738,-122.10114864275785
18.0,37.79525905351587,-122.23454234396391
19.0,37.86314654588441,-122.27415722294221
20.0,37.95530967448472,-122.30572557462686
21.0,37.970832617829245,-122.04868321115
22.0,37.89988801424148,-122.07315348823529
23.0,37.77613766219008,-121.94246190754131
24.0,37.98610353286015,-121.80337985252366
25.0,38.10628182292994,-122.22980007685776
26.0,38.2920224320805,-122.00956538236164
27.0,38.26625624469274,-122.28440717877095
28.0,38.50656412225705,-122.38670972413793
29.0,38.301008062407135,-122.63858291233284
30.0,38.457865576291795,-122.7199803550152
31.0,38.56750021502591,-122.93173653108808
32.0,38.088359330973454,-122.55859363716814
33.0,37.995146799604484,-122.55327316018457
34.0,37.90157963846768,-122.51226771308859
NA,37.2150781373161,-121.66978408872046
