taz_key,median_rent,no_of_rentals,taz_driving,taz_transit,commuter_count,home_superD,commute_cost_min,commute_cost_median,all_costs,all_index,com_index,rent_index
1383.0,1400.0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0
1384.0,1225.0,24,22.0,60.0,1851,30.0,210.0,624.0,1849.0,20.0,36.0,14.0
1385.0,1350.0,36,24.0,70.0,1105,30.0,237.0,704.0,2054.0,22.0,40.0,16.0
1386.0,1650.0,14,22.0,66.0,833,30.0,220.0,654.0,2304.0,25.0,37.0,19.0
1387.0,950.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0
1388.0,3050.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0
1389.0,1650.0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0
1390.0,1200.0,42,38.0,127.0,614,31.0,402.0,1194.0,2394.0,26.0,68.0,14.0
1391.0,2e3,21,32.0,98.0,474,31.0,323.0,961.0,2961.0,32.0,55.0,24.0
1392.0,2e3,18,27.0,94.0,637,31.0,292.0,867.0,2867.0,31.0,49.0,24.0
1393.0,1100.0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0
1394.0,1825.0,9,17.0,53.0,1329,31.0,173.0,515.0,2340.0,26.0,29.0,21.0
1395.0,1875.0,36,16.0,47.0,1490,31.0,158.0,471.0,2346.0,26.0,27.0,22.0
1396.0,2450.0,14,18.0,84.0,1736,31.0,230.0,684.0,3134.0,34.0,39.0,29.0
1397.0,1395.0,19,31.0,168.0,477,31.0,435.0,1293.0,2688.0,29.0,74.0,16.0
1398.0,1925.0,54,21.0,75.0,405,31.0,230.0,684.0,2609.0,28.0,39.0,23.0
1399.0,2250.0,34,21.0,66.0,402,31.0,215.0,639.0,2889.0,32.0,36.0,26.0
1400.0,1475.0,6,22.0,98.0,319,31.0,273.0,813.0,2288.0,25.0,46.0,17.0
1401.0,1800.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0
1402.0,1350.0,47,37.0,104.0,553,31.0,358.0,1065.0,2415.0,26.0,61.0,16.0
1403.0,2e3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0
1404.0,1700.0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0
1405.0,3200.0,2,12.0,55.0,746,32.0,152.0,451.0,3651.0,40.0,26.0,38.0
1406.0,4795.0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0
1407.0,1625.0,24,19.0,61.0,1946,32.0,197.0,585.0,2210.0,24.0,33.0,19.0
1408.0,1900.0,91,20.0,64.0,1948,32.0,207.0,614.0,2514.0,27.0,35.0,22.0
1409.0,1975.0,87,18.0,55.0,2589,32.0,182.0,540.0,2515.0,27.0,31.0,23.0
1410.0,1695.0,30,15.0,53.0,1809,32.0,163.0,486.0,2181.0,24.0,28.0,20.0
1411.0,1900.0,95,19.0,71.0,2031,32.0,213.0,634.0,2534.0,28.0,36.0,22.0
1412.0,2390.0,168,17.0,39.0,3642,32.0,150.0,446.0,2836.0,31.0,25.0,28.0
1413.0,2747.5,12,14.0,52.0,764,32.0,157.0,466.0,3213.5,35.0,27.0,32.0
1414.0,3150.0,15,23.0,79.0,2357,32.0,247.0,733.0,3883.0,42.0,42.0,37.0
1415.0,1650.0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0
1416.0,6750.0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.0
1417.0,1650.0,1,26.0,75.0,81,33.0,255.0,758.0,2408.0,26.0,43.0,19.0
1418.0,2100.0,26,39.0,106.0,1153,33.0,372.0,1105.0,3205.0,35.0,63.0,25.0
1419.0,1900.0,34,31.0,100.0,1091,33.0,322.0,956.0,2856.0,31.0,55.0,22.0
1420.0,3150.0,106,31.0,86.0,2489,33.0,298.0,887.0,4037.0,44.0,51.0,37.0
1421.0,1825.0,58,17.0,53.0,1853,33.0,173.0,515.0,2340.0,26.0,29.0,21.0
1422.0,4200.0,23,19.0,67.0,2019,33.0,207.0,614.0,4814.0,53.0,35.0,49.0
1423.0,2382.0,147,14.0,57.0,898,33.0,165.0,491.0,2873.0,31.0,28.0,28.0
1424.0,2275.0,237,17.0,63.0,1264,33.0,190.0,565.0,2840.0,31.0,32.0,27.0
1425.0,2750.0,49,20.0,66.0,1736,33.0,210.0,624.0,3374.0,37.0,36.0,32.0
1426.0,4750.0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0
1427.0,2999.0,117,21.0,56.0,1909,33.0,198.0,590.0,3589.0,39.0,34.0,35.0
1428.0,2705.0,28,19.0,70.0,4020,33.0,212.0,629.0,3334.0,36.0,36.0,32.0
1429.0,2100.0,65,20.0,57.0,1580,33.0,195.0,580.0,2680.0,29.0,33.0,25.0
1430.0,1900.0,171,20.0,55.0,2266,33.0,192.0,570.0,2470.0,27.0,32.0,22.0
