,HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon,line,geometry
13,7,2.0,10.0,18.0,281,37.78685991,-122.41377879999999,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4137788 37.78685991, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4137788 37.78685991, -122.4452882745627 37.78494491888718)"
14,7,3.0,21.0,19.0,291,37.78685991,-122.41377879999999,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4137788 37.78685991, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4137788 37.78685991, -122.4205281422132 37.75073743885415)"
15,7,4.0,32.0,31.0,61,37.786859907960206,-122.41377878109455,37.742438374444,-122.4808705677315,"LINESTRING (-122.4137787810945 37.78685990796021, -122.4808705677315 37.742438374444)","LINESTRING (-122.4137787810945 37.78685990796021, -122.4808705677315 37.742438374444)"
16,7,5.0,31.0,53.0,63,37.786859907960206,-122.41377878109455,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4137787810945 37.78685990796021, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4137787810945 37.78685990796021, -122.4498336577256 37.65355542190556)"
17,7,18.0,35.0,53.0,34,37.786859907960206,-122.41377878109455,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4137787810945 37.78685990796021, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4137787810945 37.78685990796021, -122.2345423439639 37.79525905351587)"
18,7,19.0,34.0,49.0,23,37.786859907960206,-122.41377878109455,37.863146545884405,-122.2741572229422,"LINESTRING (-122.4137787810945 37.78685990796021, -122.2741572229422 37.8631465458844)","LINESTRING (-122.4137787810945 37.78685990796021, -122.2741572229422 37.8631465458844)"
19,8,1.0,8.0,13.0,1424,37.78344787,-122.4123875,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4123875 37.78344787, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4123875 37.78344787, -122.4090009205355 37.78871765471821)"
20,8,2.0,13.0,25.0,246,37.78344787,-122.4123875,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4123875 37.78344787, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4123875 37.78344787, -122.4452882745627 37.78494491888718)"
21,8,3.0,18.0,15.0,322,37.78344787,-122.4123875,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4123875 37.78344787, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4123875 37.78344787, -122.4205281422132 37.75073743885415)"
22,8,4.0,31.0,29.0,74,37.78344786713287,-122.41238751748251,37.742438374444,-122.4808705677315,"LINESTRING (-122.4123875174825 37.78344786713287, -122.4808705677315 37.742438374444)","LINESTRING (-122.4123875174825 37.78344786713287, -122.4808705677315 37.742438374444)"
23,8,5.0,27.0,49.0,43,37.78344786713287,-122.41238751748251,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4123875174825 37.78344786713287, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4123875174825 37.78344786713287, -122.4498336577256 37.65355542190556)"
24,8,18.0,32.0,51.0,33,37.78344786713287,-122.41238751748251,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4123875174825 37.78344786713287, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4123875174825 37.78344786713287, -122.2345423439639 37.79525905351587)"
25,9,1.0,9.0,14.0,1793,37.78088306,-122.41722990000001,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4172299 37.78088306, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4172299 37.78088306, -122.4090009205355 37.78871765471821)"
26,9,2.0,11.0,27.0,524,37.78088306,-122.41722990000001,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4172299 37.78088306, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4172299 37.78088306, -122.4452882745627 37.78494491888718)"
27,9,3.0,19.0,14.0,733,37.78088306,-122.41722990000001,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4172299 37.78088306, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4172299 37.78088306, -122.4205281422132 37.75073743885415)"
28,9,4.0,28.0,27.0,116,37.780883056962026,-122.41722992194092,37.742438374444,-122.4808705677315,"LINESTRING (-122.4172299219409 37.78088305696203, -122.4808705677315 37.742438374444)","LINESTRING (-122.4172299219409 37.78088305696203, -122.4808705677315 37.742438374444)"
29,9,5.0,31.0,47.0,92,37.780883056962026,-122.41722992194092,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4172299219409 37.78088305696203, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4172299219409 37.78088305696203, -122.4498336577256 37.65355542190556)"
30,9,6.0,34.0,86.0,22,37.780883056962026,-122.41722992194092,37.54880006373962,-122.30305709289709,"LINESTRING (-122.4172299219409 37.78088305696203, -122.3030570928971 37.54880006373962)","LINESTRING (-122.4172299219409 37.78088305696203, -122.3030570928971 37.54880006373962)"
31,9,18.0,42.0,55.0,40,37.780883056962026,-122.41722992194092,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4172299219409 37.78088305696203, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4172299219409 37.78088305696203, -122.2345423439639 37.79525905351587)"
32,10,1.0,12.0,15.0,513,37.77687656,-122.41557649999999,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4155765 37.77687656, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4155765 37.77687656, -122.4090009205355 37.78871765471821)"
33,10,2.0,15.0,30.0,120,37.77687656261682,-122.4155765271028,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4155765271028 37.77687656261682, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4155765271028 37.77687656261682, -122.4452882745627 37.78494491888718)"
34,10,3.0,16.0,13.0,174,37.77687656261682,-122.4155765271028,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4155765271028 37.77687656261682, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4155765271028 37.77687656261682, -122.4205281422132 37.75073743885415)"
35,10,4.0,29.0,23.0,35,37.77687656261682,-122.4155765271028,37.742438374444,-122.4808705677315,"LINESTRING (-122.4155765271028 37.77687656261682, -122.4808705677315 37.742438374444)","LINESTRING (-122.4155765271028 37.77687656261682, -122.4808705677315 37.742438374444)"
36,10,5.0,22.0,47.0,26,37.77687656261682,-122.4155765271028,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4155765271028 37.77687656261682, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4155765271028 37.77687656261682, -122.4498336577256 37.65355542190556)"
37,10,18.0,32.0,51.0,20,37.77687656261682,-122.4155765271028,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4155765271028 37.77687656261682, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4155765271028 37.77687656261682, -122.2345423439639 37.79525905351587)"
38,11,1.0,13.0,10.0,857,37.78153024,-122.40913700000002,37.78871765471821,-122.4090009205355,"LINESTRING (-122.409137 37.78153024, -122.4090009205355 37.78871765471821)","LINESTRING (-122.409137 37.78153024, -122.4090009205355 37.78871765471821)"
39,11,2.0,20.0,30.0,159,37.78153024081632,-122.40913696326531,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4091369632653 37.78153024081632, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4091369632653 37.78153024081632, -122.4452882745627 37.78494491888718)"
40,11,3.0,17.0,15.0,260,37.78153024,-122.40913700000002,37.75073743885415,-122.42052814221316,"LINESTRING (-122.409137 37.78153024, -122.4205281422132 37.75073743885415)","LINESTRING (-122.409137 37.78153024, -122.4205281422132 37.75073743885415)"
41,11,4.0,32.0,27.0,46,37.78153024081632,-122.40913696326531,37.742438374444,-122.4808705677315,"LINESTRING (-122.4091369632653 37.78153024081632, -122.4808705677315 37.742438374444)","LINESTRING (-122.4091369632653 37.78153024081632, -122.4808705677315 37.742438374444)"
42,11,5.0,27.0,49.0,43,37.78153024081632,-122.40913696326531,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4091369632653 37.78153024081632, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4091369632653 37.78153024081632, -122.4498336577256 37.65355542190556)"
43,11,18.0,29.0,50.0,26,37.78153024081632,-122.40913696326531,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4091369632653 37.78153024081632, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4091369632653 37.78153024081632, -122.2345423439639 37.79525905351587)"
